127.0.0.1 - - [21/Jun/2023:16:29:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:29:54 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:29:54 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:29:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:30:41 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:30:41 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:36:16 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:36:16 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:36:29 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:36:29 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:36:36 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:37:18 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:37:18 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:37:40 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:37:40 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:37:53 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:37:53 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:38:00 +0900] "GET /EZen-TeamProject/product/product.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [21/Jun/2023:16:38:00 +0900] "GET /EZen-TeamProject/product/css/style.css HTTP/1.1" 200 1034
